ano;1;2;3;4;5;6;7;8;9;10;11;12
1995;2,1013;1,8531;2,2998;3,4667;3,2471;2,8863;2,9905;2,6045;1,9393;1,654;1,4387;1,34
1996;1,2526;0,9625;0,8139;0,6597;0,5888;0,6099;0,5851;0,6275;0,662;0,7419;0,8146;0,8717
1997;0,744;0,6616;0,6316;0,6211;0,6354;0,6535;0,658;0,627;0,6474;0,6553;1,5334;1,3085
1998;1,1459;0,4461;0,8995;0,472;0,4543;0,4913;0,5503;0,3749;0,4512;0,8892;0,6136;0,7434
1999;0,5163;0,8298;1,1614;0,6092;0,5761;0,3108;0,2933;0,2945;0,2715;0,2265;0,1998;0,2998
2000;0,2149;0,2328;0,2242;0,1301;0,2492;0,214;0,1547;0,2025;0,1038;0,1316;0,1197;0,0991
2001;0,1369;0,0368;0,1724;0,1546;0,1827;0,1458;0,2441;0,3436;0,1627;0,2913;0,1928;0,1983
2002;0,2591;0,1171;0,1758;0,2357;0,2102;0,1582;0,2656;0,2481;0,1955;0,2768;0,2644;0,3609
2003;0,4878;0,4116;0,3782;0,4184;0,465;0,4166;0,5465;0,4038;0,3364;0,3213;0,1776;0,1899
2004;0,128;0,0458;0,1778;0,0874;0,1546;0,1761;0,1952;0,2005;0,1728;0,1108;0,1146;0,24
2005;0,188;0,0962;0,2635;0,2003;0,2527;0,2993;0,2575;0,3466;0,2637;0,21;0,1929;0,2269
2006;0,2326;0,0725;0,2073;0,0855;0,1888;0,1937;0,1751;0,2436;0,1521;0,1875;0,1282;0,1522
2007;0,2189;0,0721;0,1876;0,1272;0,1689;0,0954;0,1469;0,1466;0,0352;0,1142;0,059;0,064
2008;0,101;0,0243;0,0409;0,0955;0,0736;0,1146;0,1914;0,1574;0,197;0,2506;0,1618;0,2149
2009;0,184;0,0451;0,1438;0,0454;0,0449;0,0656;0,1051;0,0197;0;0;0;0,0533
2010;0;0;0,0792;0;0,051;0,0589;0,1151;0,0909;0,0702;0,0472;0,0336;0,1406
2011;0,0715;0,0524;0,1212;0,0369;0,157;0,1114;0,1229;0,2076;0,1003;0,062;0,0645;0,0937
2012;0,0864;0;0,1068;0,0227;0,0468;0;0,0144;0,0123;0;0;0;0
2013;0;0;0;0;0;0;0,0209;0;0,0079;0,092;0,0207;0,0494
2014;0,1126;0,0537;0,0266;0,0459;0,0604;0,0465;0,1054;0,0602;0,0873;0,1038;0,0483;0,1053
2015;0,0878;0,0168;0,1296;0,1074;0,1153;0,1813;0,2305;0,1867;0,192;0,179;0,1297;0,225
2016;0,132;0,0957;0,2168;0,1304;0,1533;0,2043;0,1621;0,2545;0,1575;0,1601;0,1428;0,1849
2017;0,17;0,0302;0,1519;0;0,0764;0,0536;0,0623;0,0509;0;0;0;0
2018;0;0;0;0;0;0;0;0;0;0;0;0
2019;0;0;0;0;0;0;0;0;0;0;0;0
2020;0;0;0;0;0;0;0;0;0;0;0;0
2021;0;0;0;0;0;0;0;0;0;0;0;0,0488
2022;0,0605;0;0,0971;0,0555;0,1663;0,1484;0,1631;0,2409;0,1805;0,1494;0,1507;0,2072
2023;0,2081;0,083;0,2392;0,0821;0,2147;0,1799;0,1581;0,216;0,113;0,1056;0,0775;0,069
2024;0,0875;0,0079;0,0331;0,1023;0,087;0,0365;0,0739;0,0707;0,0675;0,0977;0,0649;0,0822
2025;0,169;0,1324;0,1092;;;;;;;;;
